country_code,year,population,source
AT,2020,8916864,worldbank_sp_pop_totl
AT,2021,8955797,worldbank_sp_pop_totl
AT,2022,9041851,worldbank_sp_pop_totl
AT,2023,9131761,worldbank_sp_pop_totl
AT,2024,9177982,worldbank_sp_pop_totl
BE,2020,11538604,worldbank_sp_pop_totl
BE,2021,11586195,worldbank_sp_pop_totl
BE,2022,11680210,worldbank_sp_pop_totl
BE,2023,11779946,worldbank_sp_pop_totl
BE,2024,11858610,worldbank_sp_pop_totl
BG,2020,6550696,worldbank_sp_pop_totl
BG,2021,6507301,worldbank_sp_pop_totl
BG,2022,6465097,worldbank_sp_pop_totl
BG,2023,6446596,worldbank_sp_pop_totl
BG,2024,6441421,worldbank_sp_pop_totl
CZ,2020,10697858,worldbank_sp_pop_totl
CZ,2021,10505772,worldbank_sp_pop_totl
CZ,2022,10672118,worldbank_sp_pop_totl
CZ,2023,10864042,worldbank_sp_pop_totl
CZ,2024,10905028,worldbank_sp_pop_totl
DE,2020,83160871,worldbank_sp_pop_totl
DE,2021,83196078,worldbank_sp_pop_totl
DE,2022,83177813,worldbank_sp_pop_totl
DE,2023,83287273,worldbank_sp_pop_totl
DE,2024,83516593,worldbank_sp_pop_totl
DK,2020,5831404,worldbank_sp_pop_totl
DK,2021,5856733,worldbank_sp_pop_totl
DK,2022,5903037,worldbank_sp_pop_totl
DK,2023,5946952,worldbank_sp_pop_totl
DK,2024,5976992,worldbank_sp_pop_totl
ES,2020,47359424,worldbank_sp_pop_totl
ES,2021,47443821,worldbank_sp_pop_totl
ES,2022,47786102,worldbank_sp_pop_totl
ES,2023,48352528,worldbank_sp_pop_totl
ES,2024,48848840,worldbank_sp_pop_totl
FI,2020,5529543,worldbank_sp_pop_totl
FI,2021,5541017,worldbank_sp_pop_totl
FI,2022,5556106,worldbank_sp_pop_totl
FI,2023,5583911,worldbank_sp_pop_totl
FI,2024,5619911,worldbank_sp_pop_totl
FR,2020,67601110,worldbank_sp_pop_totl
FR,2021,67842811,worldbank_sp_pop_totl
FR,2022,68184457,worldbank_sp_pop_totl
FR,2023,68372286,worldbank_sp_pop_totl
FR,2024,68551653,worldbank_sp_pop_totl
GR,2020,10698599,worldbank_sp_pop_totl
GR,2021,10569207,worldbank_sp_pop_totl
GR,2022,10436882,worldbank_sp_pop_totl
GR,2023,10407351,worldbank_sp_pop_totl
GR,2024,10405134,worldbank_sp_pop_totl
HR,2020,3914206,worldbank_sp_pop_totl
HR,2021,3878981,worldbank_sp_pop_totl
HR,2022,3855641,worldbank_sp_pop_totl
HR,2023,3859686,worldbank_sp_pop_totl
HR,2024,3866200,worldbank_sp_pop_totl
HU,2020,9670419,worldbank_sp_pop_totl
HU,2021,9630932,worldbank_sp_pop_totl
HU,2022,9605074,worldbank_sp_pop_totl
HU,2023,9592186,worldbank_sp_pop_totl
HU,2024,9562065,worldbank_sp_pop_totl
IE,2020,5039747,worldbank_sp_pop_totl
IE,2021,5110585,worldbank_sp_pop_totl
IE,2022,5212836,worldbank_sp_pop_totl
IE,2023,5311538,worldbank_sp_pop_totl
IE,2024,5395790,worldbank_sp_pop_totl
IT,2020,59438851,worldbank_sp_pop_totl
IT,2021,59133173,worldbank_sp_pop_totl
IT,2022,59013667,worldbank_sp_pop_totl
IT,2023,58984216,worldbank_sp_pop_totl
IT,2024,58952704,worldbank_sp_pop_totl
NL,2020,17441500,worldbank_sp_pop_totl
NL,2021,17533044,worldbank_sp_pop_totl
NL,2022,17700982,worldbank_sp_pop_totl
NL,2023,17877117,worldbank_sp_pop_totl
NL,2024,17993485,worldbank_sp_pop_totl
PL,2020,37515748,worldbank_sp_pop_totl
PL,2021,36981559,worldbank_sp_pop_totl
PL,2022,36821749,worldbank_sp_pop_totl
PL,2023,36687353,worldbank_sp_pop_totl
PL,2024,36559233,worldbank_sp_pop_totl
PT,2020,10297081,worldbank_sp_pop_totl
PT,2021,10361831,worldbank_sp_pop_totl
PT,2022,10434332,worldbank_sp_pop_totl
PT,2023,10578174,worldbank_sp_pop_totl
PT,2024,10694681,worldbank_sp_pop_totl
RO,2020,19265250,worldbank_sp_pop_totl
RO,2021,19122059,worldbank_sp_pop_totl
RO,2022,19048502,worldbank_sp_pop_totl
RO,2023,19061062,worldbank_sp_pop_totl
RO,2024,19051804,worldbank_sp_pop_totl
SE,2020,10353442,worldbank_sp_pop_totl
SE,2021,10415811,worldbank_sp_pop_totl
SE,2022,10486941,worldbank_sp_pop_totl
SE,2023,10536632,worldbank_sp_pop_totl
SE,2024,10569709,worldbank_sp_pop_totl
SI,2020,2102419,worldbank_sp_pop_totl
SI,2021,2108079,worldbank_sp_pop_totl
SI,2022,2112076,worldbank_sp_pop_totl
SI,2023,2120461,worldbank_sp_pop_totl
SI,2024,2127400,worldbank_sp_pop_totl
SK,2020,5458827,worldbank_sp_pop_totl
SK,2021,5447247,worldbank_sp_pop_totl
SK,2022,5431752,worldbank_sp_pop_totl
SK,2023,5426740,worldbank_sp_pop_totl
SK,2024,5422069,worldbank_sp_pop_totl
